feature,spearman_rho
netIncomeYoY,-0.22673533358839856
mom_12m,-0.21522507954682535
revYoY,-0.1835911175157943
operatingMargin,-0.17651010824390304
netMargin,-0.17041199432383067
mom_6m,-0.16627851412599381
fcfMargin_roll8_std,-0.1582407605897539
AccrualsTA,-0.14551292656347833
netMarginYoY,-0.14197389401069332
grossMargin,-0.13524697841555064
grossMargin_roll8_mean,-0.12274916706399411
vol_6m,0.12227338528806608
opMarginYoY,-0.11156076605017275
operatingMargin_roll8_mean,-0.1098211998350534
DebtChangeYoY,-0.10969821079582458
